time,temperature_2m,relativehumidity_2m,windspeed_100m,power,anomaly_iforest
2020-05-05 10:00:00,48.1,84,0.45,0.6002,1
2020-05-08 12:00:00,53.4,23,9.17,0.5677,1
2020-05-12 09:00:00,48.9,35,0.89,0.1607,1
2020-05-12 18:00:00,59.2,30,0.45,0.0239,1
2020-06-12 12:00:00,82.8,29,0.2,0.0,1
2020-06-12 13:00:00,83.7,28,0.1,0.0,1
2020-06-12 14:00:00,84.2,28,0.41,0.0,1
2020-06-12 15:00:00,84.4,27,0.3,0.0,1
2020-06-12 16:00:00,84.3,28,0.71,0.0,1
2020-06-15 11:00:00,82.3,54,10.7,0.862,1
2020-06-15 12:00:00,84.6,52,10.74,0.879,1
2020-06-15 13:00:00,86.5,50,10.89,0.7806,1
2020-06-16 16:00:00,85.8,45,10.65,0.752,1
2020-06-16 17:00:00,84.7,48,11.09,0.8018,1
2020-06-16 18:00:00,85.0,46,10.2,0.7892,1
2020-06-17 15:00:00,86.8,44,11.04,0.7236,1
2020-06-17 16:00:00,86.4,45,12.0,0.7399,1
2020-06-17 17:00:00,85.6,46,12.11,0.7561,1
2020-06-17 18:00:00,84.6,49,11.35,0.7295,1
2020-06-18 17:00:00,74.6,81,2.62,0.7042,1
2020-06-18 18:00:00,72.8,91,4.1,0.733,1
2020-06-18 20:00:00,71.1,94,2.64,0.6148,1
2020-06-18 21:00:00,70.2,95,1.0,0.5557,1
2020-06-29 00:00:00,68.4,97,10.22,0.7057,1
2020-06-29 03:00:00,68.6,95,10.47,0.7602,1
2020-06-29 04:00:00,69.3,93,10.61,0.7784,1
2020-08-09 05:00:00,70.0,98,13.03,0.4911,1
2020-08-10 10:00:00,65.1,82,14.87,0.5205,1
2020-08-10 11:00:00,65.0,74,14.69,0.6152,1
2020-08-26 12:00:00,89.7,41,10.29,0.7365,1
2020-08-26 13:00:00,91.0,36,10.59,0.7094,1
2020-08-26 14:00:00,91.7,34,10.46,0.6823,1
2020-08-26 15:00:00,91.7,34,10.18,0.6552,1
2020-09-06 15:00:00,93.9,32,7.53,0.5769,1
2020-09-06 16:00:00,92.5,30,8.94,0.5453,1
2020-09-26 14:00:00,86.1,35,12.18,0.6396,1
2020-09-26 15:00:00,86.4,35,12.17,0.6854,1
2020-09-26 16:00:00,86.3,35,11.55,0.7312,1
2020-09-26 17:00:00,84.2,38,10.42,0.7771,1
2020-09-26 18:00:00,80.2,33,11.13,0.795,1
2020-09-26 19:00:00,78.2,31,10.51,0.785,1
2020-09-26 20:00:00,75.0,36,9.88,0.7749,1
2020-10-06 16:00:00,76.7,38,10.42,0.725,1
2020-10-06 17:00:00,74.6,41,10.46,0.775,1
2020-10-06 18:00:00,73.4,39,10.64,0.7898,1
2020-10-06 19:00:00,72.1,39,10.85,0.7693,1
2020-10-09 12:00:00,79.6,46,10.29,0.8019,1
2020-10-14 14:00:00,68.4,28,13.78,0.2101,1
2020-10-17 11:00:00,59.6,36,9.72,0.8009,1
2020-10-17 12:00:00,61.9,36,8.34,0.7906,1
2020-12-23 11:00:00,29.2,82,13.45,0.8009,1
2020-12-23 12:00:00,26.8,71,14.41,0.8542,1
2020-12-23 13:00:00,22.8,66,13.96,0.8375,1
2020-12-23 14:00:00,20.6,64,14.53,0.8208,1
2020-12-23 15:00:00,18.2,65,15.92,0.8042,1
2020-12-23 16:00:00,17.1,68,15.96,0.7875,1
2020-12-23 17:00:00,16.8,70,14.73,0.7708,1
2020-12-23 18:00:00,15.2,68,15.73,0.746,1
2020-12-23 19:00:00,13.9,65,16.75,0.7131,1
2020-12-23 20:00:00,13.3,58,16.1,0.6801,1
2020-12-23 21:00:00,12.1,55,14.43,0.6472,1
2020-12-23 22:00:00,10.6,54,14.04,0.6142,1
2020-12-23 23:00:00,10.1,52,14.59,0.5812,1
2020-12-24 00:00:00,9.3,52,12.4,0.5483,1
2020-12-24 01:00:00,8.4,52,12.17,0.5153,1
2020-12-24 12:00:00,12.6,33,9.51,0.3865,1
2020-12-24 13:00:00,14.6,30,9.46,0.4094,1
2020-12-24 14:00:00,15.7,29,9.72,0.4323,1
2020-12-24 15:00:00,15.7,29,9.85,0.4552,1
2020-12-24 16:00:00,14.8,31,9.43,0.4781,1
2020-12-25 03:00:00,6.1,51,1.28,0.1649,1
2021-02-09 01:00:00,-17.7,82,1.92,0.0494,1
2021-02-09 02:00:00,-18.0,83,1.97,0.046,1
