source,variable,ks_statistic,p_value,psi,status
manual_70_30,temperature_2m,0.0950313651307815,9.523712042989606e-73,0.0880099511357368,Stable
manual_70_30,relativehumidity_2m,0.083546086443528,2.670221102673616e-56,0.0514761978324797,Stable
manual_70_30,windspeed_100m,0.2579182751902015,0.0,0.4792293318685308,Significant drift
manual_70_30,Power,0.252520731351434,0.0,0.3977663529125723,Significant drift
automated_period_2,temperature_2m,0.21712328767123287,4.5311373344199636e-151,0.25619450082832074,Significant drift
automated_period_2,relativehumidity_2m,0.09465753424657534,7.143693544689228e-29,0.05561407621656402,Stable
automated_period_2,windspeed_100m,0.030821917808219176,0.0019451667649205066,0.00982871121593562,Stable
automated_period_2,Power,0.07931506849315069,2.173433660822773e-20,0.12274387680547448,Moderate drift
automated_period_3,temperature_2m,0.2653424657534247,2.554460172710463e-226,0.3598418374399777,Significant drift
automated_period_3,relativehumidity_2m,0.13643835616438357,1.2682936334924224e-59,0.09428308225621138,Stable
automated_period_3,windspeed_100m,0.02095890410958904,0.08097243620160104,0.012725543451639175,Stable
automated_period_3,Power,0.0773972602739726,1.958251459253705e-19,0.14761388202149295,Moderate drift
automated_period_4,temperature_2m,0.22794520547945205,1.3407293664621561e-166,0.23518064397161487,Moderate drift
automated_period_4,relativehumidity_2m,0.07506849315068494,2.6280597061732057e-18,0.03096841714906782,Stable
automated_period_4,windspeed_100m,0.018904109589041096,0.14719528559567135,0.006218998933558157,Stable
automated_period_4,Power,0.05945205479452055,1.2286799388804507e-11,0.07504381799803087,Stable
automated_period_5,temperature_2m,0.1404109589041096,3.9277024849363853e-63,0.11688798906623028,Moderate drift
automated_period_5,relativehumidity_2m,0.04479452054794521,8.667117974231698e-07,0.023914889237221723,Stable
automated_period_5,windspeed_100m,0.023561643835616437,0.034750608634425445,0.006558406069711561,Stable
automated_period_5,Power,0.2795890410958904,1.4394533629127576e-251,0.7410015495869657,Significant drift
automated_period_6,temperature_2m,0.06493150684931506,8.433848798809213e-14,0.07468151567077294,Stable
automated_period_6,relativehumidity_2m,0.07561643835616438,1.4367781543006036e-18,0.04088824676325097,Stable
automated_period_6,windspeed_100m,0.02287671232876712,0.04383398551983661,0.0069459929360359916,Stable
automated_period_6,Power,0.27273972602739727,2.9559481943493013e-239,0.5869394091388231,Significant drift
